PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-1bar (mol/kg)
23.07162,23.97144,5034.96,0.85508,2.85E-04,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,4.145087263
10.6711,11.55953,1045.28,0.57244,2.21E-05,54.54545455,39.39393939,6.060606061,0,0,0,0,1.21367622
18.67205,18.83659,1507.46,0.65308,7.98E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.836173534
8.40705,8.94082,993.066,0.5077,1.11E-05,57.14285714,28.57142857,14.28571429,0,0,0,0,1.225866773
10.55911,10.99477,1241.18,0.55678,4.61E-06,60,30,10,0,0,0,0,0.506622481
6.02452,6.73972,1007.55,0.52324,3.77E-05,50,25,25,0,0,0,0,2.250938638
21.99696,22.25586,1733.44,0.72906,1.44E-05,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,1.332473373
14.85314,15.16267,1485.39,0.64318,7.81E-06,50,25,8.333333333,16.66666667,0,0,0,0.791091991
15.82205,16.14031,1634.8,0.66114,8.87E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.857145891
19.03653,19.28003,1547.81,0.69218,9.72E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.97970674
21.82001,22.09147,1891.18,0.73434,8.63E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.803176916
21.37753,30.82847,6958.99,0.93212,1.05E-05,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,1.052071148
27.50721,27.70127,1782.77,0.74908,5.67E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.58729342
31.42483,31.59639,1787.64,0.7723,6.98E-06,65,20,0,10,5,0,0,0.7223759
30.33059,30.47384,1932.9,0.78676,1.78E-05,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,1.864328428
28.94654,29.02379,2148.74,0.78628,4.32E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.439550447
29.44973,29.61979,2207.3,0.78594,4.23E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.430549019
19.00554,19.13609,1806.59,0.71216,7.07E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.710964736
17.50947,17.74285,1762.18,0.70666,9.34E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.928473755
17.39891,18.46813,4307.16,0.82422,2.10E-04,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,4.518453711
28.83791,28.97733,2055.84,0.78488,3.53E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.356933615
14.17588,16.11614,7251.58,0.90082,1.00E-05,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,1.019069341
14.1657,16.1092,6615.93,0.89698,1.46E-05,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,1.483369499
14.61444,15.22203,2323.71,0.7196,5.45E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.548690287
16.38611,16.51752,1837.52,0.6725,7.50E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.721670255
25.51863,25.62215,1965.11,0.74186,5.48E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,0.548037115
24.38004,24.50349,1916.35,0.73354,6.23E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,0.603900751
23.23817,23.31082,1877.56,0.73106,5.59E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.566380107
23.9675,24.14077,1831.45,0.72804,4.66E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.475187602
20.81745,20.94699,1447.82,0.68052,4.02E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.404425871
19.26829,19.382,1464.14,0.67458,3.48E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.35601615
4.91947,5.5683,609.527,0.4658,3.03E-05,45.53571429,43.75,3.571428571,7.142857143,0,0,0,1.857984758
39.68397,39.9305,2621.58,0.79732,5.72E-06,56.66666667,40,3.333333333,0,0,0,0,0.5611873
17.39813,17.54485,1499.4,0.68054,9.47E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.889386232
42.80809,42.93816,1829.24,0.81612,7.28E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.754838322
43.28884,43.42187,1934.87,0.82484,7.08E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.717319428
10.03477,10.55423,1317.7,0.5808,1.34E-05,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,1.248333408
10.03477,10.55423,1467.28,0.58566,1.62E-05,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,1.45320611
10.03477,10.55423,1572.98,0.59568,2.50E-05,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,2.195474156
7.62148,7.93604,1293.92,0.56012,7.84E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.759243698
27.14804,27.41489,2545.35,0.80114,6.62E-06,50,40,5,5,0,0,0,0.667428764
31.82555,31.90137,2323.9,0.76406,2.28E-05,57.44680851,38.29787234,4.255319149,0,0,0,0,1.95489792
32.86681,33.03455,2711.04,0.78798,1.30E-05,57.44680851,38.29787234,4.255319149,0,0,0,0,1.289439718
16.93791,17.2286,1127.87,0.64998,3.44E-06,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.355846085
19.33361,19.49918,2091.09,0.72138,6.20E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,0.613071693
24.69608,24.82012,2023.28,0.77204,6.84E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.699645094
11.7271,12.13815,1151.15,0.58086,2.17E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.228428902
11.85435,12.28175,1214.17,0.58532,3.38E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.354012759
18.35805,18.71848,1683.52,0.6895,7.82E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.792470502
9.11511,9.87643,1713.67,0.62662,7.40E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,0.736109537
11.06222,11.37486,1677.68,0.61804,7.99E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,0.837624907
10.72675,11.02482,1505.03,0.58464,7.45E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,0.694242216
14.44901,15.66522,4062.67,0.80292,2.14E-04,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,4.774929991
41.05112,41.1773,2272.28,0.83222,7.48E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,0.770748079
9.37583,11.01204,4872.89,0.793,3.01E-04,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,5.011670366
5.94566,7.11918,2019.34,0.61318,7.95E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.814970542
14.43667,14.78901,1987.87,0.66862,5.39E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,0.560166703
16.83791,17.15189,2411.8,0.71904,5.38E-06,56.66666667,33.33333333,10,0,0,0,0,0.555543935
15.00037,15.2073,2127.23,0.70194,6.79E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.687549367
19.77262,22.16292,7094.57,0.90412,1.14E-05,56.25,25,12.5,6.25,0,0,0,1.197180307
9.18961,9.80273,1739.36,0.6184,4.28E-06,40,25,25,10,0,0,0,0.437698301
20.79435,21.19983,3846.24,0.83142,1.99E-04,59.57446809,36.17021277,4.255319149,0,0,0,0,2.550386785
16.15375,16.51788,1691.43,0.66724,9.70E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.92235052
18.14826,18.49638,1732.61,0.68272,5.90E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.561507107
