PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-10 bar (mol/kg)
15.82205,16.14031,1634.8,0.66114,1.52E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,1.344631894
19.03653,19.28003,1547.81,0.69218,1.90E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,1.646973579
21.82001,22.09147,1891.18,0.73434,1.66E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,1.477568901
21.37753,30.82847,6958.99,0.93212,4.94E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,4.824921915
27.50721,27.70127,1782.77,0.74908,1.66E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,1.550100732
31.42483,31.59639,1787.64,0.7723,1.97E-06,65,20,0,10,5,0,0,1.798492882
30.33059,30.47384,1932.9,0.78676,3.15E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,2.657521272
28.94654,29.02379,2148.74,0.78628,1.64E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,1.564279782
29.44973,29.61979,2207.3,0.78594,1.67E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,1.567252095
19.00554,19.13609,1806.59,0.71216,1.86E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,1.662605339
17.50947,17.74285,1762.18,0.70666,2.06E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,1.752222925
17.39891,18.46813,4307.16,0.82422,7.06E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,3.989034712
28.83791,28.97733,2055.84,0.78488,1.49E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,1.424305578
14.17588,16.11614,7251.58,0.90082,3.95E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,3.767828126
14.1657,16.1092,6615.93,0.89698,3.70E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,3.515600447
14.61444,15.22203,2323.71,0.7196,1.63E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,1.449001587
16.38611,16.51752,1837.52,0.6725,1.77E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,1.488944434
25.51863,25.62215,1965.11,0.74186,1.74E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,1.547184774
24.38004,24.50349,1916.35,0.73354,1.76E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,1.561695495
23.23817,23.31082,1877.56,0.73106,1.71E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,1.527442861
23.9675,24.14077,1831.45,0.72804,1.54E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,1.399858409
