PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-5 bar (mol/kg)
9.11511,9.87643,1713.67,0.62662,1.69E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,0.778431082
11.06222,11.37486,1677.68,0.61804,1.83E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,0.874544286
10.72675,11.02482,1505.03,0.58464,1.55E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,0.705287489
14.44901,15.66522,4062.67,0.80292,9.07E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,2.886253148
41.05112,41.1773,2272.28,0.83222,2.37E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,1.150952906
9.37583,11.01204,4872.89,0.793,9.70E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,3.051668185
5.94566,7.11918,2019.34,0.61318,1.73E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.807626259
14.43667,14.78901,1987.87,0.66862,1.64E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,0.796487342
16.83791,17.15189,2411.8,0.71904,1.80E-06,56.66666667,33.33333333,10,0,0,0,0,0.868003527
15.00037,15.2073,2127.23,0.70194,1.68E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.785183781
19.77262,22.16292,7094.57,0.90412,4.39E-06,56.25,25,12.5,6.25,0,0,0,2.122802629
9.18961,9.80273,1739.36,0.6184,1.15E-06,40,25,25,10,0,0,0,0.554261463
20.79435,21.19983,3846.24,0.83142,6.11E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,2.401703739
16.15375,16.51788,1691.43,0.66724,2.05E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.973266566
18.14826,18.49638,1732.61,0.68272,1.57E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.72484759
7.26122,8.0558,1381.08,0.58616,2.40E-06,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,1.032623161
6.48996,7.45342,702.761,0.4803,5.75E-07,44.73684211,50,2.631578947,2.631578947,0,0,0,0.273557729
15.35482,15.85081,1728.24,0.66142,1.07E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,0.520795859
35.71819,35.86719,2366.26,0.80666,1.54E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.764122129
25.41555,25.64462,2270.49,0.7851,1.80E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.888255422
32.79335,33.01596,2559.5,0.83286,1.94E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.961213414
9.54557,9.60069,821.238,0.45824,6.95E-07,48.10810811,49.72972973,2.162162162,0,0,0,0,0.337129629
13.11194,13.17228,1032.13,0.51894,9.79E-07,50.24875622,47.76119403,1.990049751,0,0,0,0,0.468802582
10.59437,12.48955,8339.6,0.88504,3.96E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,1.950453791
9.58065,10.43778,8105.77,0.83242,3.87E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,1.866717725
24.61711,29.01327,8684.09,0.94858,6.09E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,2.956636514
10.07551,12.06451,8233.61,0.8788,3.92E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,1.951478333
